ep=92, test_acc=66.36, loss_cls=3.188847780227661, loss_div=0.3824182152748108, loss_total=3.953684091567993
ep=93, test_acc=67.49000000000001, loss_cls=3.194546937942505, loss_div=0.38195255398750305, loss_total=3.9584543704986572
ep=94, test_acc=68.24, loss_cls=3.200848340988159, loss_div=0.379792183637619, loss_total=3.9604291915893555
ep=95, test_acc=68.30000000000001, loss_cls=3.203066825866699, loss_div=0.3809070885181427, loss_total=3.964884042739868
ep=96, test_acc=66.55, loss_cls=3.1930694580078125, loss_div=0.38096490502357483, loss_total=3.9550018310546875
ep=97, test_acc=66.66, loss_cls=3.192561149597168, loss_div=0.38032761216163635, loss_total=3.9532179832458496
ep=98, test_acc=67.45, loss_cls=3.1111204624176025, loss_div=0.37679675221443176, loss_total=3.864713430404663
ep=99, test_acc=67.42, loss_cls=3.203742504119873, loss_div=0.376412034034729, loss_total=3.956568956375122
ep=100, test_acc=67.84, loss_cls=3.205214023590088, loss_div=0.37544819712638855, loss_total=3.9561078548431396
ep=101, test_acc=69.26, loss_cls=3.178924560546875, loss_div=0.3740742802619934, loss_total=3.9270739555358887
ep=102, test_acc=68.14, loss_cls=3.1825664043426514, loss_div=0.3748502731323242, loss_total=3.9322640895843506
ep=103, test_acc=68.87, loss_cls=3.1940677165985107, loss_div=0.3744288682937622, loss_total=3.9429266452789307
ep=104, test_acc=69.0, loss_cls=3.1507930755615234, loss_div=0.3732217848300934, loss_total=3.897235155105591
ep=105, test_acc=67.15, loss_cls=3.1904499530792236, loss_div=0.37085235118865967, loss_total=3.932159185409546
ep=106, test_acc=67.97, loss_cls=3.1640191078186035, loss_div=0.37136486172676086, loss_total=3.9067494869232178
ep=107, test_acc=69.52000000000001, loss_cls=3.1915040016174316, loss_div=0.3689534664154053, loss_total=3.9294092655181885
ep=108, test_acc=68.02, loss_cls=3.1708552837371826, loss_div=0.3676307499408722, loss_total=3.906115770339966
ep=109, test_acc=68.88, loss_cls=3.172443151473999, loss_div=0.3665695786476135, loss_total=3.905585527420044
ep=110, test_acc=68.7, loss_cls=3.1627352237701416, loss_div=0.36705002188682556, loss_total=3.896836280822754
ep=111, test_acc=68.17, loss_cls=3.214707612991333, loss_div=0.3672994375228882, loss_total=3.9493021965026855
ep=112, test_acc=68.72, loss_cls=3.1648714542388916, loss_div=0.36479002237319946, loss_total=3.894448757171631
ep=113, test_acc=69.12, loss_cls=3.1873130798339844, loss_div=0.3650263845920563, loss_total=3.917365312576294
ep=114, test_acc=69.95, loss_cls=3.1306262016296387, loss_div=0.3629198670387268, loss_total=3.8564682006835938
ep=115, test_acc=69.33, loss_cls=3.1601216793060303, loss_div=0.3629325330257416, loss_total=3.885988235473633
ep=116, test_acc=69.06, loss_cls=3.188694477081299, loss_div=0.36116278171539307, loss_total=3.9110186100006104
ep=117, test_acc=70.17999999999999, loss_cls=3.1960935592651367, loss_div=0.3594251871109009, loss_total=3.914944887161255
ep=118, test_acc=69.14, loss_cls=3.17338490486145, loss_div=0.35997459292411804, loss_total=3.8933346271514893
ep=119, test_acc=68.71000000000001, loss_cls=3.187835931777954, loss_div=0.3588145673274994, loss_total=3.905466079711914
ep=120, test_acc=67.22, loss_cls=3.1304001808166504, loss_div=0.35825401544570923, loss_total=3.8469107151031494
ep=121, test_acc=69.81, loss_cls=3.227247714996338, loss_div=0.3559263050556183, loss_total=3.9390981197357178
ep=122, test_acc=68.92, loss_cls=3.1601126194000244, loss_div=0.3567499816417694, loss_total=3.87361216545105
ep=123, test_acc=68.89, loss_cls=3.200512409210205, loss_div=0.3547675907611847, loss_total=3.910046100616455
ep=124, test_acc=69.94, loss_cls=3.1577494144439697, loss_div=0.35419130325317383, loss_total=3.8661324977874756
ep=125, test_acc=69.56, loss_cls=3.1578750610351562, loss_div=0.35303518176078796, loss_total=3.863945722579956
ep=126, test_acc=70.11, loss_cls=3.1524689197540283, loss_div=0.3531307578086853, loss_total=3.858734369277954
ep=127, test_acc=68.57, loss_cls=3.171886444091797, loss_div=0.35076475143432617, loss_total=3.873415946960449
ep=128, test_acc=69.42, loss_cls=3.1420364379882812, loss_div=0.3500071167945862, loss_total=3.8420519828796387
ep=129, test_acc=69.28999999999999, loss_cls=3.144846200942993, loss_div=0.34911495447158813, loss_total=3.843079090118408
ep=130, test_acc=70.44, loss_cls=3.152468204498291, loss_div=0.34781768918037415, loss_total=3.84810733795166
ep=131, test_acc=69.77, loss_cls=3.1943845748901367, loss_div=0.34618619084358215, loss_total=3.8867580890655518
ep=132, test_acc=70.63000000000001, loss_cls=3.1413633823394775, loss_div=0.3459446430206299, loss_total=3.8332531452178955
ep=133, test_acc=69.77, loss_cls=3.1791045665740967, loss_div=0.34503665566444397, loss_total=3.869175672531128
ep=134, test_acc=70.17, loss_cls=3.1206984519958496, loss_div=0.3441130220890045, loss_total=3.8089213371276855
ep=135, test_acc=69.62, loss_cls=3.139747381210327, loss_div=0.3433496356010437, loss_total=3.826447010040283
ep=136, test_acc=69.98, loss_cls=3.1137020587921143, loss_div=0.3427281379699707, loss_total=3.7991549968719482
ep=137, test_acc=69.42, loss_cls=3.166781187057495, loss_div=0.341654509305954, loss_total=3.850088357925415
ep=138, test_acc=69.84, loss_cls=3.1545250415802, loss_div=0.3409160375595093, loss_total=3.8363540172576904
ep=139, test_acc=69.15, loss_cls=3.133472442626953, loss_div=0.3406064212322235, loss_total=3.814685106277466
ep=140, test_acc=69.45, loss_cls=3.1525394916534424, loss_div=0.3390944004058838, loss_total=3.8307254314422607
ep=141, test_acc=70.41, loss_cls=3.0812268257141113, loss_div=0.33893701434135437, loss_total=3.7591004371643066
ep=142, test_acc=71.15, loss_cls=3.194089651107788, loss_div=0.3363562822341919, loss_total=3.8668019771575928
ep=143, test_acc=70.47, loss_cls=3.1590492725372314, loss_div=0.33757877349853516, loss_total=3.8342063426971436
ep=144, test_acc=70.67, loss_cls=3.1571226119995117, loss_div=0.3352210819721222, loss_total=3.8275654315948486
ep=145, test_acc=71.02000000000001, loss_cls=3.1219441890716553, loss_div=0.3347064256668091, loss_total=3.791358470916748
ep=146, test_acc=69.92, loss_cls=3.124598503112793, loss_div=0.33170223236083984, loss_total=3.7880048751831055
ep=147, test_acc=71.27, loss_cls=3.1413278579711914, loss_div=0.3322243094444275, loss_total=3.8057777881622314
ep=148, test_acc=71.58, loss_cls=3.162670373916626, loss_div=0.331707626581192, loss_total=3.82608699798584
ep=149, test_acc=70.87, loss_cls=3.117541551589966, loss_div=0.3311033844947815, loss_total=3.779752731323242
ep=150, test_acc=69.89, loss_cls=3.0735015869140625, loss_div=0.3301704525947571, loss_total=3.733842611312866
ep=151, test_acc=71.03, loss_cls=3.14788556098938, loss_div=0.3291754424571991, loss_total=3.8062357902526855
ep=152, test_acc=70.75, loss_cls=3.1053433418273926, loss_div=0.3263212740421295, loss_total=3.7579879760742188
ep=153, test_acc=69.0, loss_cls=3.104801893234253, loss_div=0.32607656717300415, loss_total=3.7569527626037598
ep=154, test_acc=71.52, loss_cls=3.089334011077881, loss_div=0.32509276270866394, loss_total=3.7395260334014893
ep=155, test_acc=70.88, loss_cls=3.0878562927246094, loss_div=0.3238830864429474, loss_total=3.7356209754943848
ep=156, test_acc=70.98, loss_cls=3.128659248352051, loss_div=0.32294389605522156, loss_total=3.774548292160034
ep=157, test_acc=71.00999999999999, loss_cls=3.0981826782226562, loss_div=0.3233072757720947, loss_total=3.7447991371154785
ep=158, test_acc=71.28999999999999, loss_cls=3.1039490699768066, loss_div=0.3206305205821991, loss_total=3.7452101707458496
ep=159, test_acc=70.71, loss_cls=3.147336483001709, loss_div=0.3205243647098541, loss_total=3.7883825302124023
ep=160, test_acc=69.85, loss_cls=3.111905336380005, loss_div=0.3191162049770355, loss_total=3.7501392364501953
ep=161, test_acc=70.8, loss_cls=3.1489758491516113, loss_div=0.31839707493782043, loss_total=3.785768985748291
ep=162, test_acc=70.89999999999999, loss_cls=3.1107177734375, loss_div=0.3167489171028137, loss_total=3.744218587875366
ep=163, test_acc=70.65, loss_cls=3.1063668727874756, loss_div=0.3169948160648346, loss_total=3.7403571605682373
ep=164, test_acc=71.72, loss_cls=3.144620895385742, loss_div=0.31647470593452454, loss_total=3.7775685787200928
ep=165, test_acc=71.78, loss_cls=3.1119203567504883, loss_div=0.31587085127830505, loss_total=3.7436630725860596
ep=166, test_acc=71.09, loss_cls=3.105858087539673, loss_div=0.3139648735523224, loss_total=3.7337865829467773
ep=167, test_acc=71.09, loss_cls=3.1159021854400635, loss_div=0.3125312030315399, loss_total=3.7409634590148926
ep=168, test_acc=69.69999999999999, loss_cls=3.1825313568115234, loss_div=0.31153854727745056, loss_total=3.805605888366699
ep=169, test_acc=71.89999999999999, loss_cls=3.136063814163208, loss_div=0.31170299649238586, loss_total=3.7594711780548096
ep=170, test_acc=71.12, loss_cls=3.1505508422851562, loss_div=0.31070616841316223, loss_total=3.771963357925415
ep=171, test_acc=70.99, loss_cls=3.1115169525146484, loss_div=0.30887019634246826, loss_total=3.7292580604553223
ep=172, test_acc=71.44, loss_cls=3.1475813388824463, loss_div=0.3098795711994171, loss_total=3.7673418521881104
ep=173, test_acc=70.13000000000001, loss_cls=3.174844741821289, loss_div=0.3081100583076477, loss_total=3.791057825088501
ep=174, test_acc=71.72, loss_cls=3.108464002609253, loss_div=0.3069247305393219, loss_total=3.722313404083252
ep=175, test_acc=71.81, loss_cls=3.0953359603881836, loss_div=0.3047715425491333, loss_total=3.7048792839050293
ep=176, test_acc=71.69, loss_cls=3.103231906890869, loss_div=0.30436646938323975, loss_total=3.7119665145874023
ep=177, test_acc=71.33, loss_cls=3.0900847911834717, loss_div=0.301902174949646, loss_total=3.6938889026641846
ep=178, test_acc=72.43, loss_cls=3.091961622238159, loss_div=0.30174773931503296, loss_total=3.6954548358917236
ep=179, test_acc=71.87, loss_cls=3.104456663131714, loss_div=0.30105429887771606, loss_total=3.706568479537964
ep=180, test_acc=72.24000000000001, loss_cls=3.0807714462280273, loss_div=0.3005877733230591, loss_total=3.6819446086883545
ep=181, test_acc=71.72, loss_cls=3.1240737438201904, loss_div=0.29760846495628357, loss_total=3.7192888259887695
ep=182, test_acc=72.1, loss_cls=3.0694501399993896, loss_div=0.29804402589797974, loss_total=3.6655361652374268
ep=183, test_acc=72.24000000000001, loss_cls=3.1151256561279297, loss_div=0.29522186517715454, loss_total=3.705568790435791
ep=184, test_acc=72.69, loss_cls=3.1095216274261475, loss_div=0.2954190671443939, loss_total=3.7003579139709473
ep=185, test_acc=72.22, loss_cls=3.1158947944641113, loss_div=0.2953764796257019, loss_total=3.7066500186920166
ep=186, test_acc=71.89999999999999, loss_cls=3.102717876434326, loss_div=0.2929547429084778, loss_total=3.688626527786255
ep=187, test_acc=72.50999999999999, loss_cls=3.1244595050811768, loss_div=0.29214397072792053, loss_total=3.7087483406066895
ep=188, test_acc=72.88, loss_cls=3.1248619556427, loss_div=0.2918427884578705, loss_total=3.7085466384887695
ep=189, test_acc=72.66, loss_cls=3.1233232021331787, loss_div=0.2905677258968353, loss_total=3.7044570446014404
ep=190, test_acc=72.32, loss_cls=3.063174247741699, loss_div=0.2875351905822754, loss_total=3.638244390487671
ep=191, test_acc=73.14, loss_cls=3.0994319915771484, loss_div=0.28634148836135864, loss_total=3.672112226486206
ep=192, test_acc=72.63, loss_cls=3.072044849395752, loss_div=0.285770982503891, loss_total=3.6435868740081787
ep=193, test_acc=72.89999999999999, loss_cls=3.044509172439575, loss_div=0.2828737199306488, loss_total=3.610259532928467
ep=194, test_acc=73.42, loss_cls=3.0370163917541504, loss_div=0.28338104486465454, loss_total=3.6037776470184326
